metric,phase,embedding_dimension,k_neighbors,lb,mg,local_median,local_iqr
gradient_norm,memorization_gap,15,8,6.149997489170973,4.987126409614758,5.60763338307185,3.5070998062668455
gradient_norm,memorization_gap,15,10,5.844154815681901,4.839555235053015,5.734657997801718,3.4888633325709737
gradient_norm,memorization_gap,15,15,5.349313473239333,4.699710124525474,4.9720997662318664,2.728532401078361
gradient_norm,transition,6,5,7.081947305617544,4.6890001554394765,4.998964337058327,4.716774045186086
gradient_norm,transition,6,8,5.1422764681854725,4.032869006318553,4.2688689986845585,3.2657973662681545
gradient_norm,transition,6,10,4.739296070152385,3.695640756042564,4.300248863303208,3.231282604135022
gradient_norm,transition,6,15,4.804873592520418,3.8260421339065225,4.666168313099259,2.649679895594708
gradient_norm,transition,9,5,7.2071040470441865,4.479035621900309,5.472043222863667,5.7353219057247005
gradient_norm,transition,9,8,6.2671404967698,4.599044794286413,5.976791314960972,4.256847592817978
gradient_norm,transition,9,10,5.7384881514263,4.4931327685016536,5.039655517822755,3.4005401421160877
gradient_norm,transition,9,15,5.479067494592514,4.488132358578257,4.736967462563219,2.512046099275542
gradient_norm,transition,12,5,7.203824532809927,5.445848834152725,5.707113535887649,5.289115489649192
gradient_norm,transition,12,8,6.215917277479403,5.350621396118401,5.667978643955092,2.669275537915574
gradient_norm,transition,12,10,6.025419577626847,5.333183512221658,5.626068704819874,2.3459695423551112
gradient_norm,transition,12,15,5.946692634178498,5.523043252964727,5.539079733850174,2.273264765569434
gradient_norm,transition,15,5,8.907413990388456,6.330114257730469,6.109604461597907,4.5210019492199365
gradient_norm,transition,15,8,6.856986823730332,6.185010781355986,6.223675376981912,2.575743148425846
gradient_norm,transition,15,10,6.653298663224307,6.157858244540592,6.477812583392972,2.6626414645339533
gradient_norm,transition,15,15,7.168791501873991,6.836734911064881,7.012314889695527,2.45553375203761
gradient_norm,post_grok,6,5,6.012777436475784,3.635661202556496,4.301796407617893,4.1480238647303
gradient_norm,post_grok,6,8,5.755081454552944,4.298913011601538,5.044112101246893,3.0606085139542656
gradient_norm,post_grok,6,10,5.434771498689889,4.175169587821229,5.391190731409336,2.9071620598877796
gradient_norm,post_grok,6,15,5.370770184089295,4.016037429095482,5.10011004456102,4.411502757144524
gradient_norm,post_grok,9,5,5.989580227937449,4.927658196592597,5.0067916760451645,3.163152827604688
gradient_norm,post_grok,9,8,6.17797367508095,5.450488375985333,5.67782002067627,3.217648010218645
gradient_norm,post_grok,9,10,6.499400893015665,5.715847555544191,5.9436767261457035,3.683472745900228
gradient_norm,post_grok,9,15,6.518304162270431,5.5644586035310475,5.947839317066858,3.751716506335458
gradient_norm,post_grok,12,5,7.405068178767131,5.80838558842484,5.7899283051273684,4.07552159232914
gradient_norm,post_grok,12,8,7.787987739095239,6.684880761666756,6.586036186390149,3.409231009601145
gradient_norm,post_grok,12,10,7.717195014308726,6.854971752515469,6.602275254323799,3.241130814128601
gradient_norm,post_grok,12,15,8.60185686694744,7.469202208111993,7.7543120283896565,4.51722398202388
gradient_norm,post_grok,15,5,9.303592198440054,7.003330261026443,6.737220884911584,6.8700749174970035
gradient_norm,post_grok,15,8,9.777542745941295,7.918878993561517,8.07463589235098,5.558340532800956
gradient_norm,post_grok,15,10,10.043147554108737,8.328150124589609,8.701665930642301,6.539608827580009
gradient_norm,post_grok,15,15,10.32673347292798,7.730699114020513,9.032401680692253,9.835303081676262
